"question", "frequentist_bayesian", "philosophical_pragmatic", "subjective_objective"
"The law of large numbers is fundamentally related to the meaning of probability.", -1.0, 0.0, 0.0
"If a Bayesian analysis and a frequentist analysis give the same numerical answer, you cannot say that one is better or worse than the other.", 0.0, -1.0, 0.0
"It is legitimate to model degrees of belief with probability theory.", 0.7, 0.0, -0.3
"Any model of degrees of belief that is not probability theory is wrong.", 1.0, -0.5, 0.1
"It is possible to experimentally verify that the value of a probability is correct.", -0.7, 0.0, 0.7
"Probabilities based on subjective introspection have no role in science.", -0.5, 0.0, 0.8
"Statistics education emphasises classical significance testing too much.", 0.9, -0.3, 0.0
"Goodness of fit tests are important.", -0.3, 0.6, 0.2
"Laplace's principle of indifference has been unfairly maligned.", 0.5, 0.0, 0.5
"Maximum likelihood is an approximation, not a principle.", 0.6, -0.3, 0.0

